uid,time,trade_id,price,amount,exchange,instrmnt,vol_dllr,sell2,Class,Asset,datetime,year,hour
89464982,1660524828000.0,60094737,0.07053,3189.3770000000004,polo,trx-usdt,224.94675981,0.0,spot,trx,2022-08-15 00:53:48,2022,0
89464983,1660525146000.0,60094738,0.07051,1663.9409999999998,polo,trx-usdt,117.32447991,0.0,spot,trx,2022-08-15 00:59:06,2022,0
89464984,1660525213000.0,60094739,0.07055,97.53699999999999,polo,trx-usdt,6.88123535,0.0,spot,trx,2022-08-15 01:00:13,2022,1
89464985,1660525217000.0,60094740,0.07055,2441.627,polo,trx-usdt,172.25678485,0.0,spot,trx,2022-08-15 01:00:17,2022,1
89464986,1660525226000.0,60094741,0.07056,893.519,polo,trx-usdt,63.04670064,0.0,spot,trx,2022-08-15 01:00:26,2022,1
89464987,1660525240000.0,60094742,0.07057,1423.4530000000002,polo,trx-usdt,100.45307821,0.0,spot,trx,2022-08-15 01:00:40,2022,1
89464988,1660525250000.0,60094743,0.07059,54.789,polo,trx-usdt,3.8675555100000003,0.0,spot,trx,2022-08-15 01:00:50,2022,1
89464989,1660525250000.0,60094744,0.07059,44.838,polo,trx-usdt,3.16511442,0.0,spot,trx,2022-08-15 01:00:50,2022,1
89464990,1660525267000.0,60094745,0.07069,513.495,polo,trx-usdt,36.29896155,0.0,spot,trx,2022-08-15 01:01:07,2022,1
89464991,1660525307000.0,60094746,0.07058,702.24,polo,trx-usdt,49.5640992,0.0,spot,trx,2022-08-15 01:01:47,2022,1
89464992,1660525307000.0,60094747,0.07058,704.6379999999999,polo,trx-usdt,49.73335004,0.0,spot,trx,2022-08-15 01:01:47,2022,1
89464993,1660525307000.0,60094748,0.07058,5111.267999999999,polo,trx-usdt,360.75329543999993,0.0,spot,trx,2022-08-15 01:01:47,2022,1
89464994,1660525321000.0,60094749,0.07062,59.492000000000004,polo,trx-usdt,4.20132504,0.0,spot,trx,2022-08-15 01:02:01,2022,1
89464995,1660525346000.0,60094750,0.07066,68.39999999999999,polo,trx-usdt,4.833143999999999,0.0,spot,trx,2022-08-15 01:02:26,2022,1
89464996,1660525351000.0,60094751,0.07056,248.861,polo,trx-usdt,17.55963216,0.0,spot,trx,2022-08-15 01:02:31,2022,1
89464997,1660525441000.0,60094752,0.07058,195.464,polo,trx-usdt,13.795849120000002,0.0,spot,trx,2022-08-15 01:04:01,2022,1
89464998,1660525455000.0,60094753,0.07057,361.75100000000003,polo,trx-usdt,25.52876807,0.0,spot,trx,2022-08-15 01:04:15,2022,1
89464999,1660525470000.0,60094754,0.07057,602.116,polo,trx-usdt,42.49132612,0.0,spot,trx,2022-08-15 01:04:30,2022,1
89465000,1660525478000.0,60094755,0.07058,448.90899999999993,polo,trx-usdt,31.68399722,0.0,spot,trx,2022-08-15 01:04:38,2022,1
89465001,1660525485000.0,60094756,0.07057,11028.711000000001,polo,trx-usdt,778.29613527,0.0,spot,trx,2022-08-15 01:04:45,2022,1
89465002,1660525493000.0,60094757,0.07054,3925.614,polo,trx-usdt,276.91281156,0.0,spot,trx,2022-08-15 01:04:53,2022,1
89465003,1660525508000.0,60094758,0.07058,357.14099999999996,polo,trx-usdt,25.20701178,0.0,spot,trx,2022-08-15 01:05:08,2022,1
89465004,1660525515000.0,60094759,0.07062,7319.061000000001,polo,trx-usdt,516.87208782,0.0,spot,trx,2022-08-15 01:05:15,2022,1
89465005,1660525522000.0,60094760,0.0706,8858.442000000001,polo,trx-usdt,625.4060052,0.0,spot,trx,2022-08-15 01:05:22,2022,1
89465006,1660525530000.0,60094761,0.07061,11507.036,polo,trx-usdt,812.51181196,0.0,spot,trx,2022-08-15 01:05:30,2022,1
89465007,1660525531000.0,60094762,0.07057,185.44800000000004,polo,trx-usdt,13.087065360000002,0.0,spot,trx,2022-08-15 01:05:31,2022,1
89465008,1660525537000.0,60094763,0.07059,9815.095,polo,trx-usdt,692.84755605,0.0,spot,trx,2022-08-15 01:05:37,2022,1
89465009,1660525545000.0,60094764,0.07058,124.266,polo,trx-usdt,8.77069428,0.0,spot,trx,2022-08-15 01:05:45,2022,1
89465010,1660525560000.0,60094765,0.0706,9492.992,polo,trx-usdt,670.2052352,0.0,spot,trx,2022-08-15 01:06:00,2022,1
89465011,1660525568000.0,60094766,0.07058,539.583,polo,trx-usdt,38.08376814,0.0,spot,trx,2022-08-15 01:06:08,2022,1
89465012,1660525568000.0,60094767,0.07058,6.420999999999999,polo,trx-usdt,0.45319418,0.0,spot,trx,2022-08-15 01:06:08,2022,1
